id,species_identifier,display_name,hp,attack,defense,speed,special_attack,special_defense,type1,type2,ability1,ability2,mondexentry,sprite
1,SPECIES_BULBASAUR,Bulbasaur,45,49,49,45,65,65,TYPE_GRASS,TYPE_POISON,ABILITY_OVERGROW,ABILITY_NONE,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows.",https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png
2,SPECIES_IVYSAUR,Ivysaur,60,62,63,60,80,80,TYPE_GRASS,TYPE_POISON,ABILITY_OVERGROW,ABILITY_NONE,"Exposure to sunlight adds to its
strength. Sunlight also makes the
bud on its back grow larger.",https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png
3,SPECIES_VENUSAUR,Venusaur,80,82,83,80,100,100,TYPE_GRASS,TYPE_POISON,ABILITY_OVERGROW,ABILITY_NONE,"By spreading the broad petals of
its flower and catching the sun’s
rays, it fills its body with power.",https://play.pokemonshowdown.com/sprites/gen5/venusaur.png
4,SPECIES_CHARMANDER,Charmander,39,52,43,65,60,50,TYPE_FIRE,TYPE_FIRE,ABILITY_BLAZE,ABILITY_NONE,"The flame on its tail shows the
strength of its life force. If it is weak,
the flame also burns weakly.",https://play.pokemonshowdown.com/sprites/gen5/charmander.png
5,SPECIES_CHARMELEON,Charmeleon,58,64,58,80,80,65,TYPE_FIRE,TYPE_FIRE,ABILITY_BLAZE,ABILITY_NONE,"It is very hotheaded by nature,
so it constantly seeks opponents.
It calms down only when it wins.",https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png
6,SPECIES_CHARIZARD,Charizard,78,84,78,100,109,85,TYPE_FIRE,TYPE_FLYING,ABILITY_BLAZE,ABILITY_NONE,"If CHARIZARD becomes furious,
the flame at the tip of its tail flares
up in a light blue shade.",https://play.pokemonshowdown.com/sprites/gen5/charizard.png
7,SPECIES_SQUIRTLE,Squirtle,44,48,65,43,50,64,TYPE_WATER,TYPE_WATER,ABILITY_TORRENT,ABILITY_NONE,"The shell is soft when it is born.
It soon becomes so resilient,
prodding fingers will bounce off it.",https://play.pokemonshowdown.com/sprites/gen5/squirtle.png
8,SPECIES_WARTORTLE,Wartortle,59,63,80,58,65,80,TYPE_WATER,TYPE_WATER,ABILITY_TORRENT,ABILITY_NONE,"It is a well-established symbol of
longevity. If its shell has algae on it,
that WARTORTLE is very old.",https://play.pokemonshowdown.com/sprites/gen5/wartortle.png
9,SPECIES_BLASTOISE,Blastoise,79,83,100,78,85,105,TYPE_WATER,TYPE_WATER,ABILITY_TORRENT,ABILITY_NONE,"It deliberately makes itself heavy
so it can withstand the recoil
of the water jets it fires.",https://play.pokemonshowdown.com/sprites/gen5/blastoise.png
10,SPECIES_CATERPIE,Caterpie,45,30,35,45,20,20,TYPE_BUG,TYPE_BUG,ABILITY_SHIELD_DUST,ABILITY_NONE,"For protection, it releases a horrible
stench from the antennae on its
head to drive away enemies.",https://play.pokemonshowdown.com/sprites/gen5/caterpie.png
11,SPECIES_METAPOD,Metapod,50,20,55,30,25,25,TYPE_BUG,TYPE_BUG,ABILITY_SHED_SKIN,ABILITY_NONE,"Inside the shell, it is soft and
weak as it prepares to evolve.
It stays motionless in the shell.",https://play.pokemonshowdown.com/sprites/gen5/metapod.png
